SOVEREIGN,COUNTRY,total_area,units
Antigua and Barbuda,Antigua and Barbuda,55.19874165182022,km^2
Australia,Australia,32308.41978856275,km^2
Australia,Christmas Island,5.066107059034853,km^2
Australia,Cocos (Keeling) Islands,115.86034861464064,km^2
Bahamas,Bahamas,2236.357856012618,km^2
Bahrain,Bahrain,87.5744720624615,km^2
Bangladesh,Bangladesh,4.553951282348,km^2
Barbados,Barbados,31.411343042274623,km^2
Belize,Belize,877.2195853571883,km^2
Brazil,Brazil,702.0274971472253,km^2
Brunei Darussalam,Brunei Darussalam,63.1524372571616,km^2
Cambodia,Cambodia,47.762961947878765,km^2
China,China,562.4280095049517,km^2
China,"Taiwan, Province of China",190.69564117738946,km^2
Colombia,Colombia,940.6473617673885,km^2
Comoros,Comoros,221.92698420698397,km^2
Costa Rica,Costa Rica,69.74958759914466,km^2
Cuba,Cuba,2854.3292199778507,km^2
Disputed: CHN/PHL,Disputed: China/Philippines,139.7621627457048,km^2
Disputed: CHN/PHL/TWN/VNM/MYS,Disputed: China/Philippines/Taiwan/Viet Nam/Malaysia,2712.280902046694,km^2
Disputed: CHN/VNM,Disputed: China/Viet Nam,165.82414268329,km^2
Disputed: France/Comoros,Disputed: France/Comoros,296.35311673519374,km^2
Disputed: France/Madagascar,Disputed: France/Madagascar,115.2049119536262,km^2
Disputed: France/Madagascar/Mauritus,Disputed: France/Madagascar/Mauritus,6.076923476857,km^2
Djibouti,Djibouti,30.6961157934,km^2
Dominica,Dominica,16.453480014850495,km^2
Dominican Republic,Dominican Republic,517.8421530007649,km^2
Ecuador,Ecuador,126.2644611974453,km^2
Egypt,Egypt,2240.7545206052846,km^2
Eritrea,Eritrea,2581.9879803770436,km^2
Fiji,Fiji,3404.381438463437,km^2
France,France,14.904952949116662,km^2
France,French Polynesia,3016.244138502175,km^2
France,Guadeloupe,128.79611596969988,km^2
France,Martinique,72.42982009101205,km^2
France,New Caledonia,4597.982366581442,km^2
France,Reunion,12.183592029765492,km^2
France,Wallis and Futuna Islands,426.2635793790285,km^2
Grenada,Grenada,51.0642871448013,km^2
HONDURAS,Honduras,314.04074466478545,km^2
Haiti,Haiti,164.27806508490283,km^2
Honduras,Honduras,516.7919470777871,km^2
Hong Kong,Hong Kong,3.886327534981,km^2
India,India,2035.9714183274855,km^2
Indonesia,Indonesia,20105.78776497234,km^2
"Iran, Islamic Republic of","Iran, Islamic Republic of",117.50129812312508,km^2
JAMAICA,Jamaica,439.4266489241424,km^2
Japan,Japan,1050.2200609957852,km^2
Jordan,Jordan,324.24999945152103,km^2
Kenya,Kenya,509.86098778155423,km^2
Kiribati,Kiribati,1973.2197204003783,km^2
Kuwait,Kuwait,122.499999575271,km^2
Madagascar,Madagascar,3424.238248898812,km^2
Malaysia,Malaysia,1602.667020221921,km^2
Maldives,Maldives,2714.0844626178705,km^2
Marshall Islands,Marshall Islands,2005.14241260622,km^2
Mauritius,Mauritius,720.10240840317,km^2
Mexico,Mexico,931.2909398583669,km^2
Micronesia (Federated States of),Micronesia (Federated States of),3192.4070812054606,km^2
Mozambique,Mozambique,2103.058792218193,km^2
Myanmar,Myanmar,613.5206696371235,km^2
NICARAGUA,Nicaragua,404.2461656708557,km^2
Nauru,Nauru,5.95529068183,km^2
Netherlands,Aruba,66.93196341091353,km^2
Netherlands,Netherlands Antilles,250.46651996349573,km^2
New Zealand,Cook Islands,254.69349880988156,km^2
New Zealand,Niue,15.463474326328942,km^2
New Zealand,Tokelau,97.18984425990197,km^2
Nicaragua,Nicaragua,66.57124981339237,km^2
Oman,Oman,277.4660955854988,km^2
Palau,Palau,509.70320837374703,km^2
Panama,Panama,635.1178306129815,km^2
Papua New Guinea,Papua New Guinea,7190.905295272548,km^2
Philippines,Philippines,12206.040583946564,km^2
Qatar,Qatar,156.26399527052953,km^2
Saint Kitts and Nevis,Saint Kitts and Nevis,42.05308931096445,km^2
Saint Lucia,Saint Lucia,29.651472878885333,km^2
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,33.599629311449064,km^2
Samoa,Samoa,201.1901842344979,km^2
Saudi Arabia,Saudi Arabia,3387.646360665177,km^2
Seychelles,Seychelles,1560.1611424150071,km^2
Singapore,Singapore,4.351398922055686,km^2
Solomon Islands,Solomon Islands,2835.089339794416,km^2
Somalia,Somalia,259.20520310124914,km^2
South Africa,South Africa,1.404361824654,km^2
Sri Lanka,Sri Lanka,122.5474798901956,km^2
Sudan,Sudan,653.888401225595,km^2
"Tanzania, United Republic of","Tanzania, United Republic of",2126.5025931739856,km^2
Thailand,Thailand,185.49639796331374,km^2
Tonga,Tonga,997.2134352449153,km^2
Trinidad and Tobago,Trinidad and Tobago,32.22544521583423,km^2
Tuvalu,Tuvalu,878.5018814645175,km^2
United Arab Emirates,United Arab Emirates,129.1850725814771,km^2
United Kingdom,Anguilla,24.465644002960378,km^2
United Kingdom,Bermuda,530.4399595049041,km^2
United Kingdom,British Indian Ocean Territory,1821.9859519260146,km^2
United Kingdom,Cayman Islands,187.73589977470763,km^2
United Kingdom,Montserrat,2.436990371999616,km^2
United Kingdom,Pitcairn,39.579697291493915,km^2
United Kingdom,Turks and Caicos Islands,192.5642772144505,km^2
United Kingdom,Virgin Islands (British),138.02626665656825,km^2
United States,American Samoa,45.42685222487338,km^2
United States,Guam,137.6971806590357,km^2
United States,Howland Island and Baker Island,6.321685262706871,km^2
United States,Jarvis Island,2.1738250011,km^2
United States,Johnston Atoll,75.98368770758977,km^2
United States,Northern Mariana Islands,81.87572499706081,km^2
United States,Palmyra Atoll,74.32421410362,km^2
United States,Puerto Rico,158.99970015802498,km^2
United States,United States,4108.687149454284,km^2
United States,Virgin Islands (U.S.),33.54642081612903,km^2
United States,Wake Island,13.187606778221111,km^2
Vanuatu,Vanuatu,710.9606776007895,km^2
Venezuela,Venezuela,348.8847341991338,km^2
Viet Nam,Viet Nam,264.6124150370406,km^2
Yemen,Yemen,829.2052224213674,km^2
